"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Csalic","Okriec",1,1,1,"empirical",NA
"Csalic","Opedun",1,1,1,"empirical",NA
"Ctenoc","Hplicl",1,1,1,"empirical",NA
"Ctrifa","Hcarin",1,1,1,"empirical",NA
"Cvarie","Heryth",1,1,1,"empirical",NA
"Cvitta","Oarcti",1,1,1,"empirical",NA
"Cvitta","Oelaea",1,1,1,"empirical",NA
"Cvitta","Ohasta",1,3,0.333333333333333,"empirical",NA
"Cvitta","Onigri",1,1,1,"empirical",NA
"Cvitta","Onorve",1,2,0.5,"empirical",NA
"Dcoleo","Hpruss",1,1,1,"empirical",NA
"Dlongi","Hangli",1,1,1,"empirical",NA
"Dstram","Heryth",1,1,1,"empirical",NA
"Dstram","Opedun",1,1,1,"empirical",NA
"Dstram","Oproxi",1,1,1,"empirical",NA
"Dwestw","Ofoeti",1,1,1,"empirical",NA
"Eacicu","Eboreo",1,14,0.0714285714285714,"empirical",NA
"Eacicu","Edaphn",1,6,0.166666666666667,"empirical",NA
"Eacicu","Emyrti",3,4,0.75,"empirical",NA
"Eacicu","Esmyrt",1,3,0.333333333333333,"empirical",NA
"Eacicu","Etesta",2,3,0.666666666666667,"empirical",NA
"Eacicu","Evenus",2,6,0.333333333333333,"empirical",NA
"Eacicu","Oadaph",16,18,0.888888888888889,"empirical",NA
"Eacicu","Oarcti",9,14,0.642857142857143,"empirical",NA
"Eacicu","Obella",2,3,0.666666666666667,"empirical",NA
"Eacicu","Ocolla",5,5,1,"empirical",NA
"Eacicu","Odolic",3,10,0.3,"empirical",NA
"Eacicu","Ofoeti",4,8,0.5,"empirical",NA
"Eacicu","Ogalla",3,6,0.5,"empirical",NA
"Eacicu","Oglabr",4,10,0.4,"empirical",NA
"Eacicu","Oglauc",1,3,0.333333333333333,"empirical",NA
"Eacicu","Ohasta",11,16,0.6875,"empirical",NA
"Eacicu","Oherba",3,6,0.5,"empirical",NA
"Eacicu","Okriec",11,13,0.846153846153846,"empirical",NA
"Eacicu","Olappl",4,12,0.333333333333333,"empirical",NA
"Eacicu","Olappo",4,11,0.363636363636364,"empirical",NA
"Eacicu","Omacul",1,5,0.2,"empirical",NA
"Eacicu","Omonti",1,3,0.333333333333333,"empirical",NA
"Eacicu","Omyrsi",5,6,0.833333333333333,"empirical",NA
"Eacicu","Omyrti",2,3,0.666666666666667,"empirical",NA
"Eacicu","Onigri",1,8,0.125,"empirical",NA
"Eacicu","Onival",12,19,0.631578947368421,"empirical",NA
"Eacicu","Onorve",2,2,1,"empirical",NA
"Eacicu","Opedun",7,8,0.875,"empirical",NA
"Eacicu","Opolar",1,1,1,"empirical",NA
"Eacicu","Oproxi",3,10,0.3,"empirical",NA
"Eacicu","Opustu",3,3,1,"empirical",NA
"Eacicu","Oretic",1,4,0.25,"empirical",NA
"Eacicu","Osamol",6,13,0.461538461538462,"empirical",NA
"Eacicu","Ovaria",22,26,0.846153846153846,"empirical",NA
"Eacicu","Ovesic",11,18,0.611111111111111,"empirical",NA
"Eacicu","Ovimin",29,34,0.852941176470588,"empirical",NA
"Ealbit","Eelaea",1,1,1,"empirical",NA
"Ealbit","Obridg",1,2,0.5,"empirical",NA
"Ealbit","Ocolla",1,1,1,"empirical",NA
"Ealbit","Oproxi",4,6,0.666666666666667,"empirical",NA
"Ealbit","Ovesic",1,4,0.25,"empirical",NA
"Ealbit","Ovimin",3,6,0.5,"empirical",NA
"Eanali","Hangli",2,2,1,"empirical",NA
"Eanali","Hplicl",1,1,1,"empirical",NA
"Ecalca","Hoblit",1,1,1,"empirical",NA
"Eclytu","Hplicg",1,1,1,"empirical",NA
"Efront","Hplicg",1,1,1,"empirical",NA
"Eheyer","Ocolla",1,1,1,"empirical",NA
"Enobbe","Eappen",1,1,1,"empirical",NA
"Enobbe","Eatraa",4,4,1,"empirical",NA
"Enobbe","Eaurit",5,8,0.625,"empirical",NA
"Enobbe","Edaphn",3,4,0.75,"empirical",NA
"Enobbe","Eelaea",1,4,0.25,"empirical",NA
"Enobbe","Egemmc",1,3,0.333333333333333,"empirical",NA
"Enobbe","Egemmf",1,2,0.5,"empirical",NA
"Enobbe","Egemmh",1,3,0.333333333333333,"empirical",NA
"Enobbe","Ehasta",2,3,0.666666666666667,"empirical",NA
"Enobbe","Elappc",1,2,0.5,"empirical",NA
"Enobbe","Elappo",2,5,0.4,"empirical",NA
"Enobbe","Emucro",10,10,1,"empirical",NA
"Enobbe","Emyrsi",2,2,1,"empirical",NA
"Enobbe","Emyrti",2,4,0.5,"empirical",NA
"Enobbe","Epurpu",4,5,0.8,"empirical",NA
"Enobbe","Esmyrs",1,1,1,"empirical",NA
"Enobbe","Esmyrt",1,3,0.333333333333333,"empirical",NA
"Enobbe","Evenus",1,4,0.25,"empirical",NA
"Enobbe","Eweiff",2,2,1,"empirical",NA
"Epygma","Oarcti",3,4,0.75,"empirical",NA
"Epygma","Odolic",1,1,1,"empirical",NA
"Epygma","Oelaea",1,1,1,"empirical",NA
"Epygma","Oglabr",2,4,0.5,"empirical",NA
