"","species","interactions","potential_prey","prob_expected","prob_int","expected_indegree","relative_N_alpha"
"224","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"225","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"226","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"227","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"228","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"229","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"230","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"231","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"232","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"233","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"234","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"235","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"236","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"237","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"238","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"239","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
"240","Cacoxenus.indagator",1,"Hylaeus.communis",0.264735467482677,0.264734909424,9.38174962586005,4.59459459459459
